"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 03 17:34:31 CST 2023","Thu Aug 03 17:34:31 CST 2023","47","Proj.my_proj.TestCase.single","test_myproj","TestCast","","","test_getFunnelViewData[【概览】互动漏斗指标-case_data1-case_expect1]",""
"passed","Thu Aug 03 17:34:33 CST 2023","Thu Aug 03 17:34:33 CST 2023","98","Proj.my_proj.TestCase.single","test_myproj","TestCast","","","test_getFunnelViewData[【概览】加团漏斗指标-case_data3-case_expect3]",""
"passed","Thu Aug 03 17:34:32 CST 2023","Thu Aug 03 17:34:32 CST 2023","48","Proj.my_proj.TestCase.single","test_myproj","TestCast","","","test_getFunnelViewData[【概览】关注漏斗指标-case_data2-case_expect2]",""
"passed","Thu Aug 03 17:34:22 CST 2023","Thu Aug 03 17:34:29 CST 2023","7388","Proj.my_proj.TestCase.single","test_myproj","TestCast","","","test_getDataEvaluate[cast数据概览-case_data0-case_expect0]","
            单接口配置步骤：1.配置接口参数、2.发送请求、3.添加基础检查点、4.添加业务检查点、5.单接口断言并显示检查点结果
        "
"passed","Thu Aug 03 17:34:30 CST 2023","Thu Aug 03 17:34:30 CST 2023","45","Proj.my_proj.TestCase.single","test_myproj","TestCast","","","test_getFunnelViewData[【概览】带货漏斗指标-case_data0-case_expect0]",""
